Date,Average Daily Value
2010-05-27,5.475
2010-05-28,3.3667
2010-05-29,2.4522
2010-05-30,3.1409
2010-05-31,3.6826
2010-06-01,6.5292
2010-06-02,4.9826
2010-06-03,3.1261
2010-06-04,5.1458
2010-06-05,3.6045
2010-06-06,5.5952
2010-06-07,4.9091
2010-06-08,5.6
2010-06-09,5.9625
2010-06-10,2.8435
2010-06-11,7.8542
2010-06-12,9.05
2010-06-13,7.2708
2010-06-14,6.365
2010-06-15,6.0208
2010-06-16,4.8083
2010-06-17,7.1125
2010-06-18,8.5458
2010-06-19,15.1417
2010-06-20,12.1667
2010-06-21,10.3875
2010-06-22,10.0292
2010-06-23,10.3458
2010-06-24,5.3217
2010-06-25,7.3217
2010-06-26,4.0474
2010-06-27,8.2389
2010-06-28,10.8952
2010-06-29,6.285
2010-06-30,3.7
2010-07-01,6.4818
2010-07-02,5.975
2010-07-03,7.181
2010-07-04,2.3417
2010-07-05,3.1917
2010-07-06,3.8952
2010-07-07,6.3
2010-07-08,9.4909
2010-07-09,9.0833
2010-07-10,9.35
2010-07-11,7.5696
2010-07-12,6.413
2010-07-13,2.3421
2010-07-14,6.9167
2010-07-15,9.5348
2010-07-16,8.85
2010-07-17,9.7609
2010-07-18,5.2625
2010-07-19,4.7435
2010-07-20,7.8609
2010-07-21,7.4522
2010-07-22,8.2091
2010-07-23,4.3091
2010-07-24,9.2889
2010-07-25,7.3429
2010-07-26,9.2
2010-07-27,7.1826
2010-07-28,8.2913
2010-07-29,12.0053
2010-07-30,10.535
2010-07-31,9.3375
2010-08-01,6.7478
2010-08-02,9.3208
2010-08-03,6.2091
2010-08-04,8.4609
2010-08-05,10.3542
2010-08-06,10.6375
2010-08-07,19.1333
2010-08-08,8.2917
2010-08-09,8.019
2010-08-10,8.5455
2010-08-11,8.1375
2010-08-12,6.9696
2010-08-13,2.8957
2010-08-14,6.8333
2010-08-15,6.9955
2010-08-16,11.3
2010-08-17,8.6625
2010-08-18,13.2625
2010-08-19,44.6083
2010-08-20,124.6083
2010-08-21,49.8292
2010-08-22,26.3167
2010-08-23,8.5273
2010-08-24,7.6208
2010-08-25,7.62
2010-08-26,15.0435
2010-08-27,4.875
2010-08-28,2.7083
2010-08-29,3.9458
2010-08-30,7.3609
2010-08-31,4.7167
2010-09-01,2.7667
2010-09-02,5.5
2010-09-03,14.125
2010-09-04,4.7391
2010-09-05,3.0292
2010-09-06,4.2458
2010-09-07,6.4167
2010-09-08,5.4917
2010-09-09,4.8083
2010-09-10,7.0083
2010-09-11,6.3083
2010-09-12,6.5435
2010-09-13,3.2875
2010-09-14,6.3167
2010-09-15,5.85
2010-09-16,3.5857
2010-09-17,4.2909
2010-09-18,5.1364
2010-09-19,5.4583
2010-09-20,5.4105
2010-09-21,5.7739
2010-09-22,6.5375
2010-09-23,6.15
2010-09-24,4.7684
2010-09-25,4.72
2010-09-26,5.5286
2010-09-27,5.2391
2010-09-28,4.8583
2010-09-29,5.1261
2010-09-30,4.8609
2010-10-01,8.1667
2010-10-02,10.0625
2010-10-03,9.075
2010-10-04,9.8955
2010-10-05,4.9273
2010-10-06,7.9318
2010-10-07,5.6227
2010-10-08,8.6455
2010-10-09,6.6783
2010-10-10,6.7773
2010-10-11,4.2421
2010-10-12,1.6217
2010-10-13,7.1833
2010-10-14,8.9826
2010-10-15,4.5905
2010-10-16,4.7105
2010-10-17,7.975
2010-10-18,3.987
2010-10-19,2.4238
2010-10-20,9.1
2010-10-21,6.5522
2010-10-22,11.1667
2010-10-23,13.3125
2010-10-24,14.9583
2010-10-25,3.2542
2010-10-26,7.8708
2010-10-27,21.9542
2010-10-28,10.0958
2010-10-29,8.4292
2010-10-30,5.0792
2010-10-31,3.575
2010-11-01,2.8913
2010-11-02,3.3381
2010-11-03,4.5583
2010-11-04,5.0857
2010-11-05,5.6958
2010-11-06,6.825
2010-11-07,6.9125
2010-11-08,3.1364
2010-11-09,6.6478
2010-11-10,8.4273
2010-11-11,6.819
2010-11-12,5.5167
2010-11-13,4.3958
2010-11-14,3.7833
2010-11-15,4.1429
2010-11-16,5.4478
2010-11-17,6.0476
2010-11-18,3.4167
2010-11-19,10.8652
2010-11-20,9.6708
2010-11-21,8.0167
2010-11-22,8.1261
2010-11-23,10.7
2010-11-24,5.45
2010-11-25,5.6
2010-11-26,6.8136
2010-11-27,7.9667
2010-11-28,11.7045
2010-11-29,5.9435
2010-12-02,13.6478
2010-12-03,12.8417
2010-12-04,10.2667
2010-12-05,3.2087
2010-12-06,4.7778
2010-12-07,15.9391
2010-12-08,5.55
2010-12-09,26.5208
2010-12-10,18.6292
2010-12-11,15.3652
