Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2021-03-05,5,50.5,15.9,192.3
2021-03-06,2.3,63.2,14.4,201.7
2021-03-07,1.3,47.7,12.9,223.6
2021-03-08,1,51.5,14.4,345.1
2021-03-09,-0.3,63.7,9.8,207.1
2021-03-10,-4.9,60.4,17.3,27.7
2021-03-11,-3.8,59.8,10.4,196
2021-03-12,6.7,29.1,9.7,265.6
2021-03-13,5.8,47.4,15.3,152.8
2021-03-14,8.1,38.8,13.7,198.4
2021-03-15,2,46.5,18.6,15
2021-03-16,0.6,55.8,9.1,56.4
2021-03-17,2.9,49.6,9.4,184.5
2021-03-18,7.3,36.5,11,190
2021-03-19,7.8,37.9,19.6,247.9
2021-03-20,4.8,34.9,16.5,264.5
2021-03-21,1.3,45,16.2,170.1
2021-03-22,2.5,49,23.4,337.6
2021-03-23,0.1,61.8,12.6,228.3
2021-03-24,3.9,48.3,19.5,293.8
2021-03-25,-4.1,87.7,14.1,41
2021-03-26,-1.8,82.6,10.2,114
2021-03-27,4.5,59.4,12.7,213.9
2021-03-28,7.8,43.8,24.7,273.5
2021-03-29,-6.1,59.2,42.4,346.1
2021-03-30,-2.6,41.6,15.1,269.7
2021-03-31,5.7,32.2,19,250.6
2021-04-01,8,32,17.3,225
2021-04-02,4.7,46.2,13.7,130
2021-04-03,6.3,39.8,12.8,39.7
2021-04-04,2.4,62.7,16.2,333
2021-04-05,4.3,50.6,8.2,211.3
2021-04-06,8,30.5,11.4,268.3
2021-04-07,8.2,34.8,16.4,250.9
2021-04-08,1.7,62.8,22.1,350.4
2021-04-09,2.8,45.8,15.7,224.6
2021-04-10,1.9,45.8,21.1,319.7
2021-04-11,-0.1,45,18,13.9
2021-04-12,-0.6,56.6,12.1,21.4
2021-04-13,-0.3,46.4,9.5,181.2
2021-04-14,4.5,35.4,11.1,166.6
2021-04-15,6.6,34.7,11.9,12.7
2021-04-16,8.6,30.6,5.3,21.9
2021-04-17,10.9,28.3,10.7,16
2021-04-18,0.3,76.9,20.7,2.5
2021-04-19,0.8,60.9,18.5,341.1
2021-04-20,3.6,48.1,9.2,216.6
2021-04-21,10.2,33.7,15.2,247
2021-04-22,-1.2,72.4,28.7,13.8
2021-04-23,-1.9,64.3,9.1,151.7
2021-04-24,0.3,71,11.6,166.2
2021-04-25,0.8,86.2,8.7,144.5
2021-04-26,6.5,48,12.3,258.4
2021-04-27,8.4,33.8,20.1,355.3
2021-04-28,9.3,39.5,17.6,266.6
2021-04-29,12.6,43.5,14.6,245.5
2021-04-30,16,31.2,20.2,271.8
2021-05-01,7.3,56,16.9,340
2021-05-02,5,70.1,15.6,329.7
2021-05-03,6.5,64.5,12.6,170.9
2021-05-04,6.4,72.5,11.1,351.6
2021-05-05,8.1,52,12.1,18.6
2021-05-06,11.6,41.7,25.6,158.5
2021-05-07,10.2,52.2,17.3,136.8
2021-05-08,2.5,89.5,29.3,350.5
2021-05-09,1.6,92,12.4,28.4
2021-05-10,6.2,63.2,11.3,181.6
2021-05-11,8.4,58.1,16.8,346.2
2021-05-12,10.3,48.7,7.5,208.1
2021-05-13,11.6,49.3,15.7,0.3
2021-05-14,12.5,48.7,5.4,47.5
2021-05-15,15.3,39.5,11,262.6
2021-05-16,17.8,34.3,13.6,170.8
2021-05-17,17.7,41.3,16.1,297.9
2021-05-18,11.1,46.3,25.1,286.5
2021-05-19,4.1,66.4,19.8,14
2021-05-20,0.6,75.9,14.9,51.8
2021-05-21,4.9,52,7,21.1
2021-05-22,6.9,52.3,12,135.6
2021-05-23,5,83.4,14,192.2
2021-05-24,6.6,89.4,20.8,312.2
2021-05-25,8.8,78.8,10.3,67.5
2021-05-26,10.8,73.9,20.7,166.6
2021-05-27,14.6,49.5,19.6,197.6
2021-05-28,11.5,41,18.7,299.9
2021-05-29,13.3,34.2,13.6,312.5
2021-05-30,16,33,8.4,276.4
2021-05-31,18.5,34.2,11.9,47.9
2021-06-01,21,37.2,9.1,74.4
